Ticker;CÓDIGO;EMPRESA;SETOR ECONÔMICO;SUBSETOR;SEGMENTO
TIMS3.SA;TIMS;TIM;Comunicações;Telecomunicações;Telecomunicações
NEOE3.SA;NEOE;NEOENERGIA  ;Utilidade Pública;Energia Elétrica;Energia Elétrica
HBSA3.SA;HBSA;HIDROVIAS;Bens Industriais;Transporte;Transporte Hidroviário
RADL3.SA;RADL;RAIADROGASIL    ;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
GOAU4.SA;GOAU;GERDAU MET  ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GOAU3.SA;GOAU;GERDAU MET  ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
FLRY3.SA;FLRY;FLEURY      ;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
TOTS3.SA;TOTS;TOTVS       ;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
BBSE3.SA;BBSE;BBSEGURIDADE;Financeiro;Previdência e Seguros;Seguradoras
TRAD3.SA;TRAD;TC;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
WEST3.SA;WEST;WESTWING;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
SMFT3.SA;SMFT;SMART FIT;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas
CASH3.SA;CASH;MELIUZ;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
NGRD3.SA;NGRD;NEOGRID;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
GFSA3.SA;GFSA;GAFISA      ;Consumo Cíclico;Construção Civil;Incorporações
GUAR3.SA;GUAR;GUARARAPES  ;Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados
STBP3.SA;STBP;SANTOS BRP  ;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem
BPAN4.SA;BPAN;BANCO PAN;Financeiro;Intermediários Financeiros;Bancos
AZEV4.SA;AZEV;AZEVEDO     ;Bens Industriais;Construção e Engenharia;Construção Pesada
AZEV3.SA;AZEV;AZEVEDO     ;Bens Industriais;Construção e Engenharia;Construção Pesada
HYPE3.SA;HYPE;HYPERA;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
ARZZ3.SA;ARZZ;AREZZO CO   ;Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados
TRPL4.SA;TRPL;TRAN PAULIST;Utilidade Pública;Energia Elétrica;Energia Elétrica
TRPL3.SA;TRPL;TRAN PAULIST;Utilidade Pública;Energia Elétrica;Energia Elétrica
SBFG3.SA;SBFG;GRUPO SBF;Consumo Cíclico;Comércio Varejista;Produtos Diversos
MBLY3.SA;MBLY;MOBLY;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
CURY3.SA;CURY;CURY S/A;Consumo Cíclico;Construção Civil;Incorporações
BRAP4.SA;BRAP;BRADESPAR   ;Materiais Básicos;Mineração;Minerais Metálicos
BRAP3.SA;BRAP;BRADESPAR   ;Materiais Básicos;Mineração;Minerais Metálicos
SEER3.SA;SEER;SER EDUCA;Consumo Cíclico;Diversos;Serviços Educacionais
CXSE3.SA;CXSE;CAIXA SEGURI;Financeiro;Previdência e Seguros;Seguradoras
POSI3.SA;POSI;POSITIVO TEC;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
MEAL3.SA;MEAL;IMC S/A;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares
SMTO3.SA;SMTO;SAO MARTINHO;Consumo não Cíclico;Alimentos Processados;Açucar e Alcool
AESB3.SA;AESB;AES BRASIL;Utilidade Pública;Energia Elétrica;Energia Elétrica
ESPA3.SA;ESPA;ESPACOLASER;Consumo Cíclico;Comércio Varejista;Produtos Diversos
RECV3.SA;RECV;PETRORECSA ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
SAPR4.SA;SAPR;SANEPAR     ;Utilidade Pública;Água e Saneamento;Água e Saneamento
SAPR3.SA;SAPR;SANEPAR     ;Utilidade Pública;Água e Saneamento;Água e Saneamento
DXCO3.SA;DXCO;DEXCO;Materiais Básicos;Madeira e Papel;Madeira
BRSR6.SA;BRSR;BANRISUL    ;Financeiro;Intermediários Financeiros;Bancos
BRSR3.SA;BRSR;BANRISUL    ;Financeiro;Intermediários Financeiros;Bancos
BRSR5.SA;BRSR;BANRISUL    ;Financeiro;Intermediários Financeiros;Bancos
TEND3.SA;TEND;TENDA;Consumo Cíclico;Construção Civil;Incorporações
EVEN3.SA;EVEN;EVEN        ;Consumo Cíclico;Construção Civil;Incorporações
KEPL3.SA;KEPL;KEPLER WEBER;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
ODPV3.SA;ODPV;ODONTOPREV  ;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
CSMG3.SA;CSMG;COPASA      ;Utilidade Pública;Água e Saneamento;Água e Saneamento
DIRR3.SA;DIRR;DIRECIONAL  ;Consumo Cíclico;Construção Civil;Incorporações
EZTC3.SA;EZTC;EZTEC       ;Consumo Cíclico;Construção Civil;Incorporações
MLAS3.SA;MLAS;MULTILASER;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
KLBN4.SA;KLBN;KLABIN S/A  ;Materiais Básicos;Madeira e Papel;Papel e Celulose
KLBN3.SA;KLBN;KLABIN S/A  ;Materiais Básicos;Madeira e Papel;Papel e Celulose
SBSP3.SA;SBSP;SABESP      ;Utilidade Pública;Água e Saneamento;Água e Saneamento
GGPS3.SA;GGPS;GPS;Bens Industriais;Serviços Diversos;Serviços Diversos
ZAMP3.SA;ZAMP;ZAMP S.A.;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares
KRSA3.SA;KRSA;KORA SAUDE;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
ATMP3.SA;ATMP;ATMASA;Bens Industriais;Serviços Diversos;Serviços Diversos
GRND3.SA;GRND;GRENDENE    ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados
SLED4.SA;SLED;SARAIVA LIVR;Consumo Cíclico;Comércio Varejista;Produtos Diversos
SLED3.SA;SLED;SARAIVA LIVR;Consumo Cíclico;Comércio Varejista;Produtos Diversos
EGIE3.SA;EGIE;ENGIE BRASIL;Utilidade Pública;Energia Elétrica;Energia Elétrica
RAPT4.SA;RAPT;RANDON PART ;Bens Industriais;Material de Transporte;Material Rodoviário
RAPT3.SA;RAPT;RANDON PART ;Bens Industriais;Material de Transporte;Material Rodoviário
MDIA3.SA;MDIA;M.DIASBRANCO;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
BMGB4.SA;BMGB;BANCO BMG;Financeiro;Intermediários Financeiros;Bancos
VIVT3.SA;VIVT;TELEF BRASIL;Comunicações;Telecomunicações;Telecomunicações
MYPK3.SA;MYPK;IOCHP-MAXION;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
INTB3.SA;INTB;INTELBRAS;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
ENJU3.SA;ENJU;ENJOEI;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
ENAT3.SA;ENAT;ENAUTA PART;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
TRIS3.SA;TRIS;TRISUL      ;Consumo Cíclico;Construção Civil;Incorporações
PCAR3.SA;PCAR;P.ACUCAR-CBD;Consumo não Cíclico;Comércio e Distribuição;Alimentos
RANI3.SA;RANI;IRANI ;Materiais Básicos;Embalagens;Embalagens
PLPL3.SA;PLPL;PLANOEPLANO;Consumo Cíclico;Construção Civil;Incorporações
BRIT3.SA;BRIT;BRISANET;Comunicações;Telecomunicações;Telecomunicações
HBRE3.SA;HBRE;HBR REALTY;Financeiro;Exploração de Imóveis;Exploração de Imóveis
AMBP3.SA;AMBP;AMBIPAR;Utilidade Pública;Água e Saneamento;Água e Saneamento
PSSA3.SA;PSSA;PORTO SEGURO;Financeiro;Previdência e Seguros;Seguradoras
VIVA3.SA;VIVA;VIVARA S.A.;Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios
PTBL3.SA;PTBL;PORTOBELLO  ;Bens Industriais;Construção e Engenharia;Produtos para Construção
TASA4.SA;TASA;TAURUS ARMAS;Bens Industriais;Máquinas e Equipamentos;Armas e Munições
TASA3.SA;TASA;TAURUS ARMAS;Bens Industriais;Máquinas e Equipamentos;Armas e Munições
AGRO3.SA;AGRO;BRASILAGRO  ;Consumo não Cíclico;Agropecuária;Agricultura
BOAS3.SA;BOAS;BOA VISTA;Financeiro;Serviços Financeiros Diversos;Serviços Financeiros Diversos
CAML3.SA;CAML;CAMIL;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
PGMN3.SA;PGMN;PAGUE MENOS;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
DOTZ3.SA;DOTZ;DOTZ SA;Consumo Cíclico;Diversos;Programas de Fidelização
TUPY3.SA;TUPY;TUPY        ;Bens Industriais;Material de Transporte;Material Rodoviário
TTEN3.SA;TTEN;3TENTOS;Consumo não Cíclico;Agropecuária;Agricultura
ABCB4.SA;ABCB;ABC BRASIL  ;Financeiro;Intermediários Financeiros;Bancos
AALR3.SA;AALR;ALLIAR;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
SQIA3.SA;SQIA;SINQIA;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
MILS3.SA;MILS;MILLS       ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
HBOR3.SA;HBOR;HELBOR      ;Consumo Cíclico;Construção Civil;Incorporações
